"function evaluation" "noise-free fitness - Fopt (-4.620900000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
231 +5.030890748e+00 +5.030890748e+00 +8.735089075e+01 +8.735089075e+01 +1.7070e+00 -1.9439e+00
702 +1.842356788e+00 +1.842356788e+00 +8.416235679e+01 +8.416235679e+01 +1.6797e+00 -2.1971e+00
"function evaluation" "noise-free fitness - Fopt (2.034600000000e+02)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.253396354e+02 +2.253396354e+02 +4.287996354e+02 +4.287996354e+02 -8.2840e-01 -6.9065e-01
4 +4.046945351e+00 +4.046945351e+00 +2.075069454e+02 +2.075069454e+02 +1.3385e+00 +3.8843e+00
13 +2.375911172e+00 +2.375911172e+00 +2.058359112e+02 +2.058359112e+02 +2.2417e+00 +3.8157e+00
17 +5.535724428e-01 +5.535724428e-01 +2.040135724e+02 +2.040135724e+02 +2.2892e+00 +3.8290e+00
"function evaluation" "noise-free fitness - Fopt (-1.000000000000e+03)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.241319064e+02 +1.241319064e+02 -8.758680936e+02 -8.758680936e+02 -2.7825e+00 +3.4577e+00
6 +4.865025571e+01 +4.865025571e+01 -9.513497443e+02 -9.513497443e+02 -2.6222e+00 -4.2641e-01
23 +3.910427285e+01 +3.910427285e+01 -9.608957272e+02 -9.608957272e+02 -3.1644e+00 -3.9795e-01
93 +2.450903848e+01 +2.450903848e+01 -9.754909615e+02 -9.754909615e+02 +2.1121e-01 +2.7436e-01
117 +9.032847087e+00 +9.032847087e+00 -9.909671529e+02 -9.909671529e+02 +4.0744e-02 +3.2218e-01
"function evaluation" "noise-free fitness - Fopt (-2.091000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +9.037790880e+02 +9.037790880e+02 +8.828690880e+02 +8.828690880e+02 +3.9386e+00 -4.4268e-01
2 +4.475479750e+01 +4.475479750e+01 +2.384479750e+01 +2.384479750e+01 -1.1198e+00 +7.1273e-01
7 +2.515455861e+01 +2.515455861e+01 +4.244558611e+00 +4.244558611e+00 +1.1707e+00 +1.1217e+00
23 +1.420712550e+01 +1.420712550e+01 -6.702874496e+00 -6.702874496e+00 -2.0088e+00 +2.6469e+00
181 +5.016185306e+00 +5.016185306e+00 -1.589381469e+01 -1.589381469e+01 +1.2503e-01 +2.4354e+00
489 +3.429354979e+00 +3.429354979e+00 -1.748064502e+01 -1.748064502e+01 +1.0671e+00 +2.4276e+00
555 +2.153429265e+00 +2.153429265e+00 -1.875657073e+01 -1.875657073e+01 +1.0238e+00 +2.1029e+00
"function evaluation" "noise-free fitness - Fopt (1.150000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +8.554323899e+01 +8.554323899e+01 +9.704323899e+01 +9.704323899e+01 +1.5714e+00 +1.4930e-01
2 +4.146277837e+01 +4.146277837e+01 +5.296277837e+01 +5.296277837e+01 +1.4961e+00 +1.0635e+00
5 +2.525025922e+01 +2.525025922e+01 +3.675025922e+01 +3.675025922e+01 +3.2125e+00 +1.8001e+00
21 +2.200601575e+01 +2.200601575e+01 +3.350601575e+01 +3.350601575e+01 +1.1980e+00 +2.1070e+00
41 +1.457987659e+01 +1.457987659e+01 +2.607987659e+01 +2.607987659e+01 -5.2006e-02 +1.8124e+00
141 +6.668084255e+00 +6.668084255e+00 +1.816808426e+01 +1.816808426e+01 +9.4972e-01 +2.5134e+00
410 +1.699518690e+00 +1.699518690e+00 +1.319951869e+01 +1.319951869e+01 +3.0574e+00 +2.5479e+00
"function evaluation" "noise-free fitness - Fopt (6.630000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +1.299545104e+03 +1.299545104e+03 +1.365845104e+03 +1.365845104e+03 +3.9386e+00 -4.4268e-01
2 +6.150210888e+01 +6.150210888e+01 +1.278021089e+02 +1.278021089e+02 -1.1198e+00 +7.1273e-01
4 +3.020128984e+01 +3.020128984e+01 +9.650128984e+01 +9.650128984e+01 +5.9414e-02 -1.3600e+00
31 +2.058366207e+01 +2.058366207e+01 +8.688366207e+01 +8.688366207e+01 -1.3171e+00 -1.9298e+00
234 +1.105403706e+01 +1.105403706e+01 +7.735403706e+01 +7.735403706e+01 -5.3076e-01 -1.2330e+00
326 +6.392713431e+00 +6.392713431e+00 +7.269271343e+01 +7.269271343e+01 +5.1196e-01 -1.4804e+00
"function evaluation" "noise-free fitness - Fopt (4.634000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +3.460931142e+02 +3.460931142e+02 +3.924331142e+02 +3.924331142e+02 -1.4058e+00 -3.1055e+00
3 +4.841482090e+01 +4.841482090e+01 +9.475482090e+01 +9.475482090e+01 -2.4010e+00 +2.5570e+00
4 +1.554376225e+01 +1.554376225e+01 +6.188376225e+01 +6.188376225e+01 -1.2643e+00 +2.0737e+00
21 +4.169374998e+00 +4.169374998e+00 +5.050937500e+01 +5.050937500e+01 +1.8355e+00 +2.6829e+00
"function evaluation" "noise-free fitness - Fopt (-2.104000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +7.337217062e+01 +7.337217062e+01 +5.233217062e+01 +5.233217062e+01 +2.7985e+00 -3.5516e-03
3 +5.063616901e+01 +5.063616901e+01 +2.959616901e+01 +2.959616901e+01 -2.9663e+00 -7.5515e-02
13 +3.917053900e+01 +3.917053900e+01 +1.813053900e+01 +1.813053900e+01 +1.1645e+00 +2.4759e+00
18 +1.282944205e+01 +1.282944205e+01 -8.210557949e+00 -8.210557949e+00 +3.6270e-01 +4.3053e-01
115 +6.461762445e+00 +6.461762445e+00 -1.457823755e+01 -1.457823755e+01 +2.1461e+00 +8.0346e-01
365 +5.932663877e+00 +5.932663877e+00 -1.510733612e+01 -1.510733612e+01 +2.1388e+00 +1.1029e+00
841 +1.769922885e+00 +1.769922885e+00 -1.927007711e+01 -1.927007711e+01 +2.1287e+00 +1.4799e+00
"function evaluation" "noise-free fitness - Fopt (5.098000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +6.155263070e+01 +6.155263070e+01 +1.125326307e+02 +1.125326307e+02 -1.6108e+00 -1.4667e+00
9 +2.421076918e+01 +2.421076918e+01 +7.519076918e+01 +7.519076918e+01 -7.1779e-01 -3.0636e-01
23 +1.220558154e+01 +1.220558154e+01 +6.318558154e+01 +6.318558154e+01 -1.5954e+00 +1.3439e-01
66 +4.130462494e+00 +4.130462494e+00 +5.511046249e+01 +5.511046249e+01 +5.2825e-02 +5.2086e-01
396 +3.330766966e+00 +3.330766966e+00 +5.431076697e+01 +5.431076697e+01 +1.0549e-01 +1.1855e+00
"function evaluation" "noise-free fitness - Fopt (-3.578000000000e+01)" "best noise-free fitness - Fopt" "measured fitness" "best measured fitness" "x1" "x2"
1 +2.168811178e+02 +2.168811178e+02 +1.811011178e+02 +1.811011178e+02 +1.4845e+00 -2.2501e+00
2 +7.552210512e+01 +7.552210512e+01 +3.974210512e+01 +3.974210512e+01 -2.5323e+00 -1.0102e+00
17 +5.747663270e+01 +5.747663270e+01 +2.169663270e+01 +2.169663270e+01 +6.4571e-01 -1.5038e+00
20 +1.613131100e+01 +1.613131100e+01 -1.964868900e+01 -1.964868900e+01 -1.0115e+00 -3.4308e+00
251 +1.138652370e+01 +1.138652370e+01 -2.439347630e+01 -2.439347630e+01 -9.0901e-01 -3.9035e+00
620 +9.217569070e+00 +9.217569070e+00 -2.656243093e+01 -2.656243093e+01 -1.7543e+00 -3.8217e+00
